Ensemble-Condition,S-NR,,Q-NR,,Q-SP,,Q-DP,,Q-NR,,Q-SP,,Q-DP,,Q-NR,,Q-SP,,Q-DP,,T-NR,,T-SP,,T-DP,,D-NR,,D-SP,,D-NR,,D-SP,,D-NR,,D-SP,,D-NR,,D-SP,
Composer-Leader,Haydn-VN0,,Haydn-V1,,Haydn-V1,,Haydn-V1,,Haydn-V1,,Haydn-V2,,Haydn-V2,,Beethoven-VN1,,Beethoven-VN1,,Beethoven-VN1,,Dohnányi-V0,,Dohnányi-V0,,Dohnányi-V0,,Mozart-VN1_VA,,Mozart-VN1_VA,,Mozart-VN1_VN2,,Mozart-VN1_VN2,,Mozart-VN2_VA,,Mozart-VN2_VA,,Mozart-VN2_VN1,,Mozart-VN2_VN1,
#,Solo Haydn,Annotator IDs,Quartet Haydn Leader VN1,Annotator IDs,Quartet Haydn Leader VN1,Annotator IDs,Quartet Haydn Leader VN1,Annotator IDs,Quartet Haydn Leader VN2,Annotator IDs,Quartet Haydn Leader VN2,Annotator IDs,Quartet Haydn Leader VN2,Annotator IDs,Quartet Beethoven Leader VN1,Annotator IDs,Quartet Beethoven Leader VN1,Annotator IDs,Quartet Beethoven Leader VN1,Annotator IDs,Trio Dohnányi D-AM-VN0-NR,Annotator IDs,Trio Dohnányi D-AM-VN0-SP,Annotator IDs,Trio Dohnányi D-AM-VN0-DP,Annotator IDs,Duet Mozart D-AM-VN1_VA-NR,Annotator IDs,Duet Mozart D-AM-VN1_VA-SP,Annotator IDs,Duet Mozart D-AM-VN1_VN2-NR,Annotator IDs,Duet Mozart D-AM-VN1_VN2-SP,Annotator IDs,Duet Mozart D-AM-VN2_VA-NR,Annotator IDs,Duet Mozart D-AM-VN2_VA-SP,Annotator IDs,Duet Mozart D-AM-VN2_VN1-NR,Annotator IDs,Duet Mozart D-AM-VN2_VN1-SP,Annotator IDs
9,VN1-S-JH-VN0-NR-2.txt,18,VA-Q-JH-VN1-NR-10.txt,18,VA-Q-JH-VN1-SP-10.txt,18,VA-Q-JH-VN1-DP-10.txt,18,VA-Q-JH-VN2-NR-3.txt,18,VA-Q-JH-VN2-SP-3.txt,18,VA-Q-JH-VN2-DP-3.txt,18,,,,,,,VN1-T-ED-VN0-NR-11.txt,18,VN1-T-ED-VN0-SP-11.txt,18,VN1-T-ED-VN0-DP-11.txt,18,,,,,,,,,,,,,,,,
10,VN1-S-JH-VN0-NR-3.txt,18,VC-Q-JH-VN1-NR-10.txt,18,VC-Q-JH-VN1-SP-10.txt,18,VC-Q-JH-VN1-DP-10.txt,18,VC-Q-JH-VN2-NR-3.txt,18,VC-Q-JH-VN2-SP-3.txt,18,VC-Q-JH-VN2-DP-3.txt,18,,,,,,,VA-T-ED-VN0-NR-12.txt,18,VA-T-ED-VN0-SP-12.txt,18,VA-T-ED-VN0-DP-12.txt,18,,,,,,,,,,,,,,,,
11,VN1-S-JH-VN0-NR-4.txt,12,VN1-Q-JH-VN1-NR-10.txt,18,VN1-Q-JH-VN1-SP-10.txt,18,VN1-Q-JH-VN1-DP-10.txt,18,VN1-Q-JH-VN2-NR-3.txt,18,VN1-Q-JH-VN2-SP-3.txt,18,VN1-Q-JH-VN2-DP-3.txt,18,,,,,,,VC-T-ED-VN0-NR-12.txt,18,VC-T-ED-VN0-SP-12.txt,18,VC-T-ED-VN0-DP-12.txt,18,,,,,,,,,,,,,,,,
12,VN2-S-JH-VN0-NR-3.txt,18,VN2-Q-JH-VN1-NR-10.txt,18,VN2-Q-JH-VN1-SP-10.txt,18,VN2-Q-JH-VN1-DP-10.txt,18,VN2-Q-JH-VN2-NR-3.txt,18,VN2-Q-JH-VN2-SP-3.txt,18,VN2-Q-JH-VN2-DP-3.txt,18,,,,,,,VN1-T-ED-VN0-NR-12.txt,18,VN1-T-ED-VN0-SP-12.txt,18,VN1-T-ED-VN0-DP-12.txt,18,,,,,,,,,,,,,,,,
13,VN2-S-JH-VN0-NR-4.txt,18,VA-Q-JH-VN1-NR-9.txt,18,VA-Q-JH-VN1-SP-9.txt,18,VA-Q-JH-VN1-DP-9.txt,18,VA-Q-JH-VN2-NR-4.txt,18,VA-Q-JH-VN2-SP-4.txt,18,VA-Q-JH-VN2-DP-4.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,VN2-S-JH-VN0-NR-5.txt,12,VC-Q-JH-VN1-NR-9.txt,18,VC-Q-JH-VN1-SP-9.txt,18,VC-Q-JH-VN1-DP-9.txt,18,VC-Q-JH-VN2-NR-4.txt,18,VC-Q-JH-VN2-SP-4.txt,18,VC-Q-JH-VN2-DP-4.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,VN1-Q-JH-VN1-NR-9.txt,18,VN1-Q-JH-VN1-SP-9.txt,18,VN1-Q-JH-VN1-DP-9.txt,18,VN1-Q-JH-VN2-NR-4.txt,18,VN1-Q-JH-VN2-SP-4.txt,18,VN1-Q-JH-VN2-DP-4.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,VN2-Q-JH-VN1-NR-9.txt,18,VN2-Q-JH-VN1-SP-9.txt,18,VN2-Q-JH-VN1-DP-9.txt,18,VN2-Q-JH-VN2-NR-4.txt,18,VN2-Q-JH-VN2-SP-4.txt,18,VN2-Q-JH-VN2-DP-4.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,VA-Q-JH-VN1-NR-8.txt,18,VA-Q-JH-VN1-SP-8.txt,18,VA-Q-JH-VN1-DP-8.txt,18,VA-Q-JH-VN2-NR-5.txt,18,VA-Q-JH-VN2-SP-5.txt,18,VA-Q-JH-VN2-DP-5.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,VC-Q-JH-VN1-NR-8.txt,18,VC-Q-JH-VN1-SP-8.txt,18,VC-Q-JH-VN1-DP-8.txt,18,VC-Q-JH-VN2-NR-5.txt,18,VC-Q-JH-VN2-SP-5.txt,18,VC-Q-JH-VN2-DP-5.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,VN1-Q-JH-VN1-NR-8.txt,18,VN1-Q-JH-VN1-SP-8.txt,18,VN1-Q-JH-VN1-DP-8.txt,18,VN1-Q-JH-VN2-NR-5.txt,18,VN1-Q-JH-VN2-SP-5.txt,18,VN1-Q-JH-VN2-DP-5.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
